"","year","vote","work","job","outofwork","turnout"
"501","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"502","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"503","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"504","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"505","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"506","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"507","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"508","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"509","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"510","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"511","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"512","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"513","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"514","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"515","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"516","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"517","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","1. Not registered, and did not vote"
"518","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"519","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"520","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"521","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"522","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"523","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"524","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"525","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"526","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"527","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"528","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"529","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"530","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"531","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"532","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"533","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"534","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"535","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"536","2004","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"537","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"538","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"539","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"540","2004","1. Democrat","5. Retired","5. Not much at all","5. No","3. Voted (registered)"
"541","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"542","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"543","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"544","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"545","2004","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"546","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"547","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"548","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"549","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"550","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"551","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"552","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"553","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"554","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"555","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"556","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"557","2004","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"558","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"559","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"560","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"561","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","1. Yes","2. Registered, but did not vote"
"562","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"563","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"564","2004","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"565","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"566","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"567","2004","2. Republican","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"568","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"569","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"570","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"571","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"572","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"573","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","2. Registered, but did not vote"
"574","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"575","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"576","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"577","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"578","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"579","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"580","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"581","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"582","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"583","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"584","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"585","2004","3. Major third party candidate (Wallace 1968/Anderson","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"586","2004","2. Republican","7. Homemaker","5. Not much at all","5. No","3. Voted (registered)"
"587","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","1. Yes","1. Not registered, and did not vote"
"588","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"589","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"590","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"591","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"592","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"593","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"594","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"595","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"596","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"597","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"598","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"599","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"600","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"601","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"602","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"603","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"604","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"605","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"606","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"607","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"608","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"609","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"610","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"611","2004","1. Democrat","5. Retired","5. Not much at all","5. No","3. Voted (registered)"
"612","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"613","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"614","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"615","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"616","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"617","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"618","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"619","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"620","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"621","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"622","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"623","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"624","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"625","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"626","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"627","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"628","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"629","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"630","2004","4. Other (incl. 3d/minor party candidates and write-ins)","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"631","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"632","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"633","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"634","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"635","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"636","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"637","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"638","2004","3. Major third party candidate (Wallace 1968/Anderson","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"639","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"640","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"641","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"642","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"643","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"644","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"645","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"646","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"647","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"648","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"649","2004","2. Republican","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"650","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"651","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"652","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"653","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"654","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"655","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"656","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"657","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"658","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"659","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"660","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"661","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"662","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"663","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"664","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"665","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"666","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"667","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"668","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"669","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"670","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"671","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"672","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"673","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"674","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","2. Registered, but did not vote"
"675","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"676","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"677","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"678","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"679","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"680","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"681","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"682","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"683","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"684","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"685","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"686","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"687","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"688","2004","2. Republican","8. Student","5. Not much at all","5. No","3. Voted (registered)"
"689","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"690","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"691","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"692","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"693","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"694","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"695","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"696","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"697","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"698","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"699","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"700","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"701","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"702","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"703","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"704","2004","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"705","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"706","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"707","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"708","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"709","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"710","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"711","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","2. Registered, but did not vote"
"712","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"713","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"714","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"715","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"716","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"717","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"718","2008","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"719","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"720","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"721","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"722","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"723","2008","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"724","2008","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"725","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"726","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"727","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"728","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"729","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"730","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"731","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"732","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"733","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"734","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"735","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"736","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"737","2008","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"738","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"739","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"740","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"741","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"742","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","1. Yes","2. Registered, but did not vote"
"743","2008","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"744","2008","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"745","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"746","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"747","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"748","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"749","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"750","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"751","2008","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"752","2008","1. Democrat","1. Working now","3. Somewhat","1. Yes","3. Voted (registered)"
"753","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"754","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","2. Registered, but did not vote"
"755","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"756","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"757","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"758","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"759","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"760","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"761","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"762","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"763","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"764","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"765","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"766","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"767","2008","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"768","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"769","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"770","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"771","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"772","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"773","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"774","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"775","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","5. No","1. Not registered, and did not vote"
"776","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"777","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"778","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"779","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","1. A lot","1. Yes","1. Not registered, and did not vote"
"780","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"781","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"782","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"783","2008","1. Democrat","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"784","2008","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"785","2008","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"786","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","2. Registered, but did not vote"
"787","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"788","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"789","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"790","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"791","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"792","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"793","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","3. Somewhat","5. No","1. Not registered, and did not vote"
"794","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"795","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"796","2008","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"797","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"798","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"799","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"800","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"801","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"802","2008","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"803","2008","2. Republican","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"804","2008","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"805","2008","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"806","2008","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
