"","year","vote","region","urbanism","grewup","turnout"
"151","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"152","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"153","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","7. In a very large city (over 500,000)","3. Voted (registered)"
"154","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","1. On a farm","1. Not registered, and did not vote"
"155","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"156","2000","4. Other (incl. 3d/minor party candidates and write-ins)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"157","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","1. On a farm","3. Voted (registered)"
"158","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"159","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"160","2000","7. Did not vote or voted but not for president (exc.1972)","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","2. In the country, not on a farm","1. Not registered, and did not vote"
"161","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"162","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"163","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"164","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"165","2000","7. Did not vote or voted but not for president (exc.1972)","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","5. In a large city (100,000-500,000)","1. Not registered, and did not vote"
"166","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"167","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"168","2000","7. Did not vote or voted but not for president (exc.1972)","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","6. In a suburb of a large city","1. Not registered, and did not vote"
"169","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"170","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"171","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","8. In a suburb of a very large city","3. Voted (registered)"
"172","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","2. In the country, not on a farm","3. Voted (registered)"
"173","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"174","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"175","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","1. On a farm","2. Registered, but did not vote"
"176","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","6. In a suburb of a large city","3. Voted (registered)"
"177","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"178","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","2. In the country, not on a farm","3. Voted (registered)"
"179","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","1. On a farm","2. Registered, but did not vote"
"180","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","1. On a farm","1. Not registered, and did not vote"
"181","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"182","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"183","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"184","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"185","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"186","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"187","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"188","2000","4. Other (incl. 3d/minor party candidates and write-ins)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"189","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","1. On a farm","3. Voted (registered)"
"190","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","5. In a large city (100,000-500,000)","1. Not registered, and did not vote"
"191","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"192","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
"193","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","1. On a farm","3. Voted (registered)"
"194","2000","4. Other (incl. 3d/minor party candidates and write-ins)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"195","2000","4. Other (incl. 3d/minor party candidates and write-ins)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"196","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"197","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"198","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"199","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"200","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"201","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"202","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"203","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","2. In the country, not on a farm","1. Not registered, and did not vote"
"204","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"205","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","2. In the country, not on a farm","1. Not registered, and did not vote"
"206","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"207","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","1. On a farm","3. Voted (registered)"
"208","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"209","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"210","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"211","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","1. On a farm","3. Voted (registered)"
"212","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"213","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"214","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","6. In a suburb of a large city","2. Registered, but did not vote"
"215","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"216","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","7. In a very large city (over 500,000)","1. Not registered, and did not vote"
"217","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
"218","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"219","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","1. On a farm","3. Voted (registered)"
"220","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","6. In a suburb of a large city","1. Not registered, and did not vote"
"221","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"222","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","6. In a suburb of a large city","1. Not registered, and did not vote"
"223","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"224","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","4. In a medium-sized city (50,000-100,000)","2. Registered, but did not vote"
"225","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"226","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","1. On a farm","3. Voted (registered)"
"227","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"228","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","4. In a medium-sized city (50,000-100,000)","1. Not registered, and did not vote"
"229","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","1. Not registered, and did not vote"
"230","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"231","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","6. In a suburb of a large city","3. Voted (registered)"
"232","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"233","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"234","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"235","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"236","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"237","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"238","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","2. Registered, but did not vote"
"239","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","1. On a farm","1. Not registered, and did not vote"
"240","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"241","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","1. On a farm","1. Not registered, and did not vote"
"242","2000","4. Other (incl. 3d/minor party candidates and write-ins)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
"243","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","3. Voted (registered)"
"244","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","7. In a very large city (over 500,000)","1. Not registered, and did not vote"
"245","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"246","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","2. In the country, not on a farm","3. Voted (registered)"
"247","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"248","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","3. Rural, small towns, outlying and adjacent areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"249","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"250","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","1. On a farm","2. Registered, but did not vote"
"251","2000","1. Democrat","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","6. In a suburb of a large city","3. Voted (registered)"
"252","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","8. In a suburb of a very large city","3. Voted (registered)"
"253","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","7. In a very large city (over 500,000)","3. Voted (registered)"
"254","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","1. Central cities","7. In a very large city (over 500,000)","3. Voted (registered)"
"255","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"256","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"257","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","8. In a suburb of a very large city","3. Voted (registered)"
"258","2000","1. Democrat","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"259","2000","7. Did not vote or voted but not for president (exc.1972)","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","2. Registered, but did not vote"
"260","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"261","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"262","2000","2. Republican","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"263","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"264","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","8. In a suburb of a very large city","3. Voted (registered)"
"265","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","1. Central cities","6. In a suburb of a large city","2. Registered, but did not vote"
"266","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","7. In a very large city (over 500,000)","3. Voted (registered)"
"267","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","7. In a very large city (over 500,000)","2. Registered, but did not vote"
"268","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"269","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"270","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"271","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"272","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"273","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","3. Rural, small towns, outlying and adjacent areas","1. On a farm","3. Voted (registered)"
"274","2000","2. Republican","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"275","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","8. In a suburb of a very large city","3. Voted (registered)"
"276","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"277","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","7. In a very large city (over 500,000)","1. Not registered, and did not vote"
"278","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"279","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","5. In a large city (100,000-500,000)","3. Voted (registered)"
"280","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","4. In a medium-sized city (50,000-100,000)","3. Voted (registered)"
"281","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","2. In the country, not on a farm","2. Registered, but did not vote"
"282","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","7. In a very large city (over 500,000)","1. Not registered, and did not vote"
"283","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"284","2000","1. Democrat","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","5. In a large city (100,000-500,000)","3. Voted (registered)"
"285","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"286","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","6. In a suburb of a large city","3. Voted (registered)"
"287","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","2. Suburban areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"288","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"289","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"290","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","2. Suburban areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"291","2000","7. Did not vote or voted but not for president (exc.1972)","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","1. Not registered, and did not vote"
"292","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","1. Central cities","2. In the country, not on a farm","3. Voted (registered)"
"293","2000","2. Republican","1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)","3. Rural, small towns, outlying and adjacent areas","3. In a small city or town (under 50,000)","3. Voted (registered)"
"294","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","3. Rural, small towns, outlying and adjacent areas","6. In a suburb of a large city","3. Voted (registered)"
"295","2000","2. Republican","4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,","3. Rural, small towns, outlying and adjacent areas","7. In a very large city (over 500,000)","3. Voted (registered)"
"296","2000","7. Did not vote or voted but not for president (exc.1972)","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","1. Central cities","5. In a large city (100,000-500,000)","1. Not registered, and did not vote"
"297","2000","1. Democrat","2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,","1. Central cities","3. In a small city or town (under 50,000)","3. Voted (registered)"
"298","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","1. On a farm","1. Not registered, and did not vote"
"299","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","1. Not registered, and did not vote"
"300","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","3. Rural, small towns, outlying and adjacent areas","2. In the country, not on a farm","1. Not registered, and did not vote"
"301","2000","7. Did not vote or voted but not for president (exc.1972)","3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC","2. Suburban areas","6. In a suburb of a large city","2. Registered, but did not vote"
